Node Count,Requested Duration,Actual Duration
32,7200,470
32,7200,4022
32,7200,4038
32,7200,4036
32,7200,4062
32,7200,4038
32,7200,7205
32,7200,3891
32,7200,3943
32,7200,3933
32,7200,3913
32,7200,3922
32,7200,425
32,7200,425
32,7200,425
32,7200,425
40,7200,2044
40,7200,1500
40,7200,4160
40,7200,1427
40,7200,4028
40,7200,3654
40,7200,2406
40,7200,2530
40,7200,2135
40,7200,4282
40,7200,3981
40,7200,3436
40,7200,3549
40,7200,4334
40,7200,4239
40,7200,4054
40,7200,3633
40,7200,2810
40,7200,3939
40,7200,3780
40,7200,3868
40,7200,4372
40,7200,4377
40,7200,3891
40,7200,4331
40,7200,4163
100,21600,839
100,21600,736
100,21600,637
3,7200,7224
6144,43200,11549
30,7200,6619
4,900,10
30,7200,6671
2,3600,16
4,900,8
4,900,8
4,900,10
4,900,713
92,3600,38
256,3600,3626
4,900,913
300,3600,542
30,7200,6457
18,7200,7215
18,7200,7221
18,7200,7214
64,7200,25
64,7200,14
64,7200,7228
2,7200,7203
2,7200,7201
2,7200,7215
10,7200,22
10,7200,15
4,7200,2072
10,7200,5
36,3600,28
10,7200,6936
96,9000,7524
48,3600,3619
6,7200,1746
8,7200,127
8,7200,7211
48,3600,3623
256,3600,38
3,7200,7214
30,7200,6390
3,3600,3626
256,3600,32
30,7200,6434
256,3600,35
256,3600,3607
96,9000,7597
8,5400,69
30,7200,6387
30,7200,6521
3,7200,5246
8,5400,89
8,3600,3626
20,1800,815
10,7200,6962
6,7200,7202
60,7200,1469
96,9000,7598
3,7200,7206
64,7200,2299
10,7200,6
10,7200,7
8,5400,69
60,7200,944
30,7200,6388
32,5400,74
16,5400,74
30,7200,6487
32,7200,2239
2,3600,1450
30,7200,6416
24,3600,639
4,7200,18
6,7200,11
2,3600,827
6,7200,6932
30,7200,6456
10,7200,6919
10,7200,6968
6,7200,7220
4,900,8
4,900,8
4,900,8
4,900,6
4,900,7
4,900,7
4,900,8
4,900,7
4,900,61
3,7200,7216
10,3600,26
4,900,74
30,7200,6359
30,7200,6356
30,7200,6485
2,7200,135
2,7200,2043
4,900,4
4,900,351
4,900,15
10,3600,734
4,900,350
4,900,8
2,7200,4019
2,3000,259
128,21600,21611
144,21600,11317
4000,43200,32816
2304,9000,684
1464,43200,43201
208,43200,43224
